QUERY,PRICE_TYPE,TIME_PERIOD,INTENT
What was Facebook's open price 2 days ago?,open,2d,price_inquiry
What was Google's high price 2 days ago?,high,2d,price_inquiry
What is the volume price of Tesla for 6 months ago?,volume,6mo,price_inquiry
Tell me the low price of Apple last month.,low,1mo,price_inquiry
What is the open price of Facebook for last month?,open,1mo,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What was Amazon's close price yesterday?,close,1d,price_inquiry
What was Apple's low price last year?,low,1y,price_inquiry
Tell me the high price of Google 5 days ago.,high,5d,price_inquiry
What is the close price of Apple for last year?,close,1y,price_inquiry
What was Apple's open price 2 days ago?,open,2d,price_inquiry
What is the close price of Apple for last year?,close,1y,price_inquiry
What was Facebook's low price 3 months ago?,low,3mo,price_inquiry
Tell me the low price of Google 6 months ago.,low,6mo,price_inquiry
Tell me the open price of Facebook today.,open,1d,price_inquiry
What was Apple's low price last year?,low,1y,price_inquiry
What was Microsoft's low price last month?,low,1mo,price_inquiry
What is the high price of Facebook for 3 months ago?,high,3mo,price_inquiry
What is the high price of Facebook for 3 months ago?,high,3mo,price_inquiry
What was Apple's open price yesterday?,open,1d,price_inquiry
What was Amazon's close price yesterday?,close,1d,price_inquiry
What was Tesla's open price last year?,open,1y,price_inquiry
What is the close price of Tesla for 6 months ago?,close,6mo,price_inquiry
What is the low price of Microsoft for last year?,low,1y,price_inquiry
What was Google's volume price today?,volume,1d,price_inquiry
Tell me the volume price of Google 6 months ago.,volume,6mo,price_inquiry
What was Microsoft's volume price 2 days ago?,volume,2d,price_inquiry
What was Tesla's high price last month?,high,1mo,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
What is the close price of Tesla for 6 months ago?,close,6mo,price_inquiry
What is the close price of Amazon for yesterday?,close,1d,price_inquiry
Tell me the high price of Tesla today.,high,1d,price_inquiry
Tell me the close price of Microsoft last year.,close,1y,price_inquiry
Tell me the volume price of Google 3 months ago.,volume,3mo,price_inquiry
Tell me the high price of Google today.,high,1d,price_inquiry
Tell me the low price of Tesla 2 days ago.,low,2d,price_inquiry
What is the high price of Facebook for last year?,high,1y,price_inquiry
What was Google's open price last year?,open,1y,price_inquiry
What was Facebook's low price last month?,low,1mo,price_inquiry
What is the high price of Facebook for today?,high,1d,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What was Facebook's high price 6 months ago?,high,6mo,price_inquiry
What is the volume price of Google for 5 days ago?,volume,5d,price_inquiry
What is the volume price of Apple for 5 days ago?,volume,5d,price_inquiry
What is the low price of Facebook for last year?,low,1y,price_inquiry
Tell me the low price of Apple last month.,low,1mo,price_inquiry
What was Tesla's low price yesterday?,low,1d,price_inquiry
What was Microsoft's close price 2 days ago?,close,2d,price_inquiry
What was Facebook's open price 2 days ago?,open,2d,price_inquiry
Tell me the high price of Apple 6 months ago.,high,6mo,price_inquiry
What was Facebook's close price last year?,close,1y,price_inquiry
Tell me the low price of Tesla 2 days ago.,low,2d,price_inquiry
What was Microsoft's volume price last month?,volume,1mo,price_inquiry
What is the volume price of Tesla for today?,volume,1d,price_inquiry
What is the volume price of Google for last year?,volume,1y,price_inquiry
Tell me the high price of Google 5 days ago.,high,5d,price_inquiry
Tell me the close price of Facebook last month.,close,1mo,price_inquiry
Tell me the low price of Apple 5 days ago.,low,5d,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
What was Amazon's low price last month?,low,1mo,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What is the close price of Tesla for 2 days ago?,close,2d,price_inquiry
Tell me the high price of Amazon last month.,high,1mo,price_inquiry
What was Apple's high price 3 months ago?,high,3mo,price_inquiry
What was Google's close price last month?,close,1mo,price_inquiry
What was Microsoft's low price last month?,low,1mo,price_inquiry
What is the high price of Microsoft for 5 days ago?,high,5d,price_inquiry
Tell me the volume price of Tesla last year.,volume,1y,price_inquiry
What was Google's high price 6 months ago?,high,6mo,price_inquiry
Tell me the current price of Microsoft last month.,current,1mo,price_inquiry
What was Google's low price 3 months ago?,low,3mo,price_inquiry
What was Apple's high price 3 months ago?,high,3mo,price_inquiry
What was Apple's high price 2 days ago?,high,2d,price_inquiry
Tell me the volume price of Apple today.,volume,1d,price_inquiry
Tell me the open price of Facebook last year.,open,1y,price_inquiry
Tell me the volume price of Apple today.,volume,1d,price_inquiry
What is the low price of Facebook for last year?,low,1y,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
What was Tesla's close price 3 months ago?,close,3mo,price_inquiry
Tell me the open price of Apple 6 months ago.,open,6mo,price_inquiry
What was Amazon's high price 5 days ago?,high,5d,price_inquiry
What is the low price of Tesla for 3 months ago?,low,3mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What is the high price of Apple for last year?,high,1y,price_inquiry
Tell me the low price of Tesla 2 days ago.,low,2d,price_inquiry
What is the volume price of Amazon for 5 days ago?,volume,5d,price_inquiry
What is the low price of Microsoft for 2 days ago?,low,2d,price_inquiry
What is the volume price of Tesla for today?,volume,1d,price_inquiry
What is the low price of Amazon for last month?,low,1mo,price_inquiry
Tell me the current price of Microsoft last month.,current,1mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What was Microsoft's volume price 6 months ago?,volume,6mo,price_inquiry
What was Facebook's low price 3 months ago?,low,3mo,price_inquiry
What was Tesla's high price 6 months ago?,high,6mo,price_inquiry
Tell me the volume price of Amazon 2 days ago.,volume,2d,price_inquiry
What is the volume price of Tesla for today?,volume,1d,price_inquiry
What was Facebook's volume price today?,volume,1d,price_inquiry
What was Facebook's low price 5 days ago?,low,5d,price_inquiry
What was Facebook's close price 2 days ago?,close,2d,price_inquiry
Tell me the volume price of Google 5 days ago.,volume,5d,price_inquiry
What is the close price of Amazon for 6 months ago?,close,6mo,price_inquiry
What was Apple's current price yesterday?,current,1d,price_inquiry
What was Microsoft's high price 6 months ago?,high,6mo,price_inquiry
Tell me the volume price of Facebook 6 months ago.,volume,6mo,price_inquiry
What was Google's close price last year?,close,1y,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What is the low price of Apple for 5 days ago?,low,5d,price_inquiry
What was Tesla's high price last month?,high,1mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
Tell me the open price of Facebook 5 days ago.,open,5d,price_inquiry
What is the high price of Google for today?,high,1d,price_inquiry
What was Google's volume price today?,volume,1d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What is the current price of Microsoft for last year?,current,1y,price_inquiry
What was Amazon's low price 5 days ago?,low,5d,price_inquiry
What was Microsoft's close price 3 months ago?,close,3mo,price_inquiry
What was Apple's current price yesterday?,current,1d,price_inquiry
What is the close price of Amazon for last year?,close,1y,price_inquiry
What is the high price of Apple for last year?,high,1y,price_inquiry
What was Tesla's close price 3 months ago?,close,3mo,price_inquiry
What is the open price of Microsoft for 5 days ago?,open,5d,price_inquiry
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
What was Facebook's high price 6 months ago?,high,6mo,price_inquiry
Tell me the close price of Apple yesterday.,close,1d,price_inquiry
What was Facebook's close price 2 days ago?,close,2d,price_inquiry
Tell me the open price of Facebook today.,open,1d,price_inquiry
What was Microsoft's open price today?,open,1d,price_inquiry
Tell me the volume price of Amazon last month.,volume,1mo,price_inquiry
What was Tesla's high price 6 months ago?,high,6mo,price_inquiry
What is the low price of Google for last month?,low,1mo,price_inquiry
What is the low price of Google for last month?,low,1mo,price_inquiry
What was Amazon's close price 6 months ago?,close,6mo,price_inquiry
What was Microsoft's open price 3 months ago?,open,3mo,price_inquiry
Tell me the open price of Apple 5 days ago.,open,5d,price_inquiry
What was Amazon's close price yesterday?,close,1d,price_inquiry
Tell me the low price of Microsoft last year.,low,1y,price_inquiry
What was Amazon's high price last month?,high,1mo,price_inquiry
What is the high price of Facebook for today?,high,1d,price_inquiry
What is the low price of Google for last month?,low,1mo,price_inquiry
What is the close price of Microsoft for today?,close,1d,price_inquiry
Tell me the open price of Apple last year.,open,1y,price_inquiry
What is the close price of Facebook for today?,close,1d,price_inquiry
What was Apple's high price 6 months ago?,high,6mo,price_inquiry
Tell me the low price of Amazon 2 days ago.,low,2d,price_inquiry
What was Google's open price 5 days ago?,open,5d,price_inquiry
What was Amazon's close price last year?,close,1y,price_inquiry
What was Facebook's current price 5 days ago?,current,5d,price_inquiry
Tell me the close price of Google today.,close,1d,price_inquiry
What is the volume price of Amazon for last year?,volume,1y,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What was Tesla's low price last month?,low,1mo,price_inquiry
Tell me the volume price of Google 3 months ago.,volume,3mo,price_inquiry
Tell me the volume price of Apple 2 days ago.,volume,2d,price_inquiry
Tell me the close price of Facebook today.,close,1d,price_inquiry
What was Amazon's close price 3 months ago?,close,3mo,price_inquiry
What is the volume price of Facebook for 6 months ago?,volume,6mo,price_inquiry
What is the close price of Microsoft for today?,close,1d,price_inquiry
Tell me the close price of Facebook today.,close,1d,price_inquiry
What was Google's volume price yesterday?,volume,1d,price_inquiry
What is the volume price of Amazon for 5 days ago?,volume,5d,price_inquiry
What is the close price of Tesla for 2 days ago?,close,2d,price_inquiry
Tell me the low price of Amazon last month.,low,1mo,price_inquiry
What was Amazon's close price 3 months ago?,close,3mo,price_inquiry
Tell me the open price of Amazon 3 months ago.,open,3mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What is the low price of Apple for 5 days ago?,low,5d,price_inquiry
What is the high price of Apple for 3 months ago?,high,3mo,price_inquiry
What was Amazon's close price 3 months ago?,close,3mo,price_inquiry
What is the volume price of Amazon for 6 months ago?,volume,6mo,price_inquiry
What was Facebook's low price 6 months ago?,low,6mo,price_inquiry
What is the volume price of Apple for 5 days ago?,volume,5d,price_inquiry
What was Amazon's close price yesterday?,close,1d,price_inquiry
Tell me the volume price of Tesla today.,volume,1d,price_inquiry
Tell me the open price of Facebook 2 days ago.,open,2d,price_inquiry
What is the high price of Apple for last year?,high,1y,price_inquiry
Tell me the volume price of Microsoft 6 months ago.,volume,6mo,price_inquiry
What was Tesla's close price yesterday?,close,1d,price_inquiry
What is the close price of Microsoft for 5 days ago?,close,5d,price_inquiry
Tell me the high price of Google 5 days ago.,high,5d,price_inquiry
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
What was Apple's close price last month?,close,1mo,price_inquiry
What is the high price of Apple for 3 months ago?,high,3mo,price_inquiry
What was Facebook's close price 3 months ago?,close,3mo,price_inquiry
What is the high price of Facebook for last year?,high,1y,price_inquiry
Tell me the low price of Amazon 2 days ago.,low,2d,price_inquiry
Tell me the close price of Google last year.,close,1y,price_inquiry
What was Google's volume price 5 days ago?,volume,5d,price_inquiry
What was Google's low price 3 months ago?,low,3mo,price_inquiry
What was Facebook's volume price today?,volume,1d,price_inquiry
What was Amazon's volume price 2 days ago?,volume,2d,price_inquiry
Tell me the close price of Amazon today.,close,1d,price_inquiry
Tell me the volume price of Facebook 5 days ago.,volume,5d,price_inquiry
What is the volume price of Apple for 5 days ago?,volume,5d,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What was Apple's volume price 3 months ago?,volume,3mo,price_inquiry
Tell me the high price of Amazon last month.,high,1mo,price_inquiry
Tell me the volume price of Tesla last year.,volume,1y,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
Tell me the volume price of Microsoft 3 months ago.,volume,3mo,price_inquiry
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
What was Amazon's high price 3 months ago?,high,3mo,price_inquiry
What was Facebook's volume price last year?,volume,1y,price_inquiry
What is the close price of Tesla for 6 months ago?,close,6mo,price_inquiry
Tell me the volume price of Tesla 5 days ago.,volume,5d,price_inquiry
What is the high price of Facebook for today?,high,1d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What is the close price of Tesla for 6 months ago?,close,6mo,price_inquiry
Tell me the current price of Microsoft last year.,current,1y,price_inquiry
What is the high price of Tesla for 3 months ago?,high,3mo,price_inquiry
Tell me the high price of Google last month.,high,1mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What is the open price of Facebook for today?,open,1d,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What is the close price of Microsoft for 5 days ago?,close,5d,price_inquiry
What was Tesla's close price today?,close,1d,price_inquiry
Tell me the low price of Microsoft last year.,low,1y,price_inquiry
What was Apple's high price 3 months ago?,high,3mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
What was Microsoft's high price 5 days ago?,high,5d,price_inquiry
What is the open price of Amazon for 6 months ago?,open,6mo,price_inquiry
What is the volume price of Apple for 3 months ago?,volume,3mo,price_inquiry
What is the high price of Facebook for 3 months ago?,high,3mo,price_inquiry
Tell me the high price of Microsoft last year.,high,1y,price_inquiry
Tell me the close price of Microsoft yesterday.,close,1d,price_inquiry
What is the high price of Amazon for today?,high,1d,price_inquiry
What was Amazon's close price 3 months ago?,close,3mo,price_inquiry
What was Amazon's close price 6 months ago?,close,6mo,price_inquiry
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
What was the low price comparison between Tesla and Microsoft this year?,low,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the open price of Microsoft and Amazon this year.,open,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
What was the low price comparison between Google and Microsoft this year?,low,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the low price of Google and Facebook this year.,low,ytd,stock_comparison
Compare the low price of Microsoft and Google this year.,low,ytd,stock_comparison
What was the low price comparison between Google and Microsoft this year?,low,ytd,stock_comparison
What was the open price comparison between Microsoft and Tesla this year?,open,ytd,stock_comparison
Compare the low price of Facebook and Apple this year.,low,ytd,stock_comparison
Compare the high price of Google and Apple this year.,high,ytd,stock_comparison
What was the open price comparison between Amazon and Microsoft this year?,open,ytd,stock_comparison
Compare the open price of Google and Amazon this year.,open,ytd,stock_comparison
Compare the high price of Facebook and Tesla this year.,high,ytd,stock_comparison
Compare the open price of Microsoft and Apple this year.,open,ytd,stock_comparison
What was the open price comparison between Facebook and Microsoft this year?,open,ytd,stock_comparison
What was the close price comparison between Microsoft and Facebook this year?,close,ytd,stock_comparison
Compare the open price of Google and Apple this year.,open,ytd,stock_comparison
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
What was the open price comparison between Tesla and Google this year?,open,ytd,stock_comparison
What was the high price comparison between Facebook and Tesla this year?,high,ytd,stock_comparison
What was the high price comparison between Amazon and Microsoft this year?,high,ytd,stock_comparison
Compare the volume price of Apple and Google this year.,volume,ytd,stock_comparison
What was the low price comparison between Microsoft and Amazon this year?,low,ytd,stock_comparison
Compare the low price of Amazon and Microsoft this year.,low,ytd,stock_comparison
Compare the volume price of Google and Facebook this year.,volume,ytd,stock_comparison
What was the low price comparison between Tesla and Microsoft this year?,low,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
What was the close price comparison between Amazon and Apple this year?,close,ytd,stock_comparison
What was the high price comparison between Microsoft and Tesla this year?,high,ytd,stock_comparison
Compare the high price of Microsoft and Apple this year.,high,ytd,stock_comparison
What was the volume price comparison between Facebook and Tesla this year?,volume,ytd,stock_comparison
Compare the high price of Google and Apple this year.,high,ytd,stock_comparison
What was the high price comparison between Google and Tesla this year?,high,ytd,stock_comparison
Compare the volume price of Apple and Google this year.,volume,ytd,stock_comparison
What was the low price comparison between Google and Microsoft this year?,low,ytd,stock_comparison
What was the close price comparison between Tesla and Microsoft this year?,close,ytd,stock_comparison
What was the open price comparison between Google and Facebook this year?,open,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
Compare the open price of Tesla and Amazon this year.,open,ytd,stock_comparison
Compare the open price of Google and Tesla this year.,open,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
What was the high price comparison between Amazon and Google this year?,high,ytd,stock_comparison
Compare the high price of Tesla and Google this year.,high,ytd,stock_comparison
What was the high price comparison between Amazon and Apple this year?,high,ytd,stock_comparison
Compare the low price of Apple and Microsoft this year.,low,ytd,stock_comparison
Compare the high price of Amazon and Google this year.,high,ytd,stock_comparison
What was the volume price comparison between Apple and Tesla this year?,volume,ytd,stock_comparison
What was the low price comparison between Microsoft and Facebook this year?,low,ytd,stock_comparison
Compare the high price of Apple and Facebook this year.,high,ytd,stock_comparison
Compare the volume price of Apple and Google this year.,volume,ytd,stock_comparison
What was the close price comparison between Amazon and Tesla this year?,close,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
What was the high price comparison between Amazon and Tesla this year?,high,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
What was the close price comparison between Tesla and Apple this year?,close,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
Compare the low price of Microsoft and Google this year.,low,ytd,stock_comparison
What was the volume price comparison between Apple and Tesla this year?,volume,ytd,stock_comparison
Compare the low price of Tesla and Microsoft this year.,low,ytd,stock_comparison
What was the low price comparison between Tesla and Microsoft this year?,low,ytd,stock_comparison
Compare the low price of Microsoft and Google this year.,low,ytd,stock_comparison
What was the close price comparison between Amazon and Tesla this year?,close,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
Compare the open price of Facebook and Amazon this year.,open,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
What was the close price comparison between Apple and Amazon this year?,close,ytd,stock_comparison
Compare the high price of Amazon and Tesla this year.,high,ytd,stock_comparison
What was the high price comparison between Amazon and Google this year?,high,ytd,stock_comparison
What was the high price comparison between Amazon and Tesla this year?,high,ytd,stock_comparison
What was the close price comparison between Facebook and Microsoft this year?,close,ytd,stock_comparison
What was the close price comparison between Amazon and Tesla this year?,close,ytd,stock_comparison
Compare the volume price of Google and Facebook this year.,volume,ytd,stock_comparison
Compare the close price of Facebook and Microsoft this year.,close,ytd,stock_comparison
Compare the open price of Microsoft and Apple this year.,open,ytd,stock_comparison
What was the high price comparison between Apple and Google this year?,high,ytd,stock_comparison
What was the volume price comparison between Tesla and Google this year?,volume,ytd,stock_comparison
What was the open price comparison between Facebook and Tesla this year?,open,ytd,stock_comparison
Compare the close price of Facebook and Apple this year.,close,ytd,stock_comparison
What was the close price comparison between Amazon and Google this year?,close,ytd,stock_comparison
What was the volume price comparison between Tesla and Google this year?,volume,ytd,stock_comparison
What was the open price comparison between Amazon and Microsoft this year?,open,ytd,stock_comparison
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
What was the volume price comparison between Apple and Tesla this year?,volume,ytd,stock_comparison
What was the close price comparison between Amazon and Tesla this year?,close,ytd,stock_comparison
Compare the open price of Facebook and Amazon this year.,open,ytd,stock_comparison
What was the high price comparison between Microsoft and Facebook this year?,high,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the close price of Facebook and Microsoft this year.,close,ytd,stock_comparison
What was the volume price comparison between Facebook and Amazon this year?,volume,ytd,stock_comparison
Compare the volume price of Apple and Google this year.,volume,ytd,stock_comparison
What was the volume price comparison between Tesla and Google this year?,volume,ytd,stock_comparison
What was the close price comparison between Microsoft and Facebook this year?,close,ytd,stock_comparison
Compare the current price of Tesla and Apple this year.,current,ytd,stock_comparison
Compare the low price of Tesla and Microsoft this year.,low,ytd,stock_comparison
Compare the high price of Apple and Facebook this year.,high,ytd,stock_comparison
What was the volume price comparison between Amazon and Facebook this year?,volume,ytd,stock_comparison
Compare the open price of Microsoft and Apple this year.,open,ytd,stock_comparison
Compare the volume price of Google and Apple this year.,volume,ytd,stock_comparison
What was the volume price comparison between Tesla and Facebook this year?,volume,ytd,stock_comparison
What was the low price comparison between Amazon and Microsoft this year?,low,ytd,stock_comparison
Compare the low price of Apple and Microsoft this year.,low,ytd,stock_comparison
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
Compare the close price of Facebook and Amazon this year.,close,ytd,stock_comparison
Compare the high price of Google and Apple this year.,high,ytd,stock_comparison
What was the close price comparison between Google and Apple this year?,close,ytd,stock_comparison
Compare the volume price of Tesla and Microsoft this year.,volume,ytd,stock_comparison
What was the close price comparison between Tesla and Apple this year?,close,ytd,stock_comparison
What was the close price comparison between Amazon and Apple this year?,close,ytd,stock_comparison
Compare the volume price of Microsoft and Apple this year.,volume,ytd,stock_comparison
Compare the volume price of Apple and Google this year.,volume,ytd,stock_comparison
What was the high price comparison between Apple and Google this year?,high,ytd,stock_comparison
What was the high price comparison between Amazon and Microsoft this year?,high,ytd,stock_comparison
What was the open price comparison between Microsoft and Facebook this year?,open,ytd,stock_comparison
What was the open price comparison between Amazon and Microsoft this year?,open,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
What was the low price comparison between Facebook and Tesla this year?,low,ytd,stock_comparison
Compare the close price of Amazon and Facebook this year.,close,ytd,stock_comparison
What was the close price comparison between Tesla and Apple this year?,close,ytd,stock_comparison
What was the close price comparison between Apple and Tesla this year?,close,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the high price of Amazon and Tesla this year.,high,ytd,stock_comparison
Compare the open price of Google and Facebook this year.,open,ytd,stock_comparison
Compare the close price of Microsoft and Amazon this year.,close,ytd,stock_comparison
Compare the open price of Microsoft and Facebook this year.,open,ytd,stock_comparison
What was the volume price comparison between Amazon and Apple this year?,volume,ytd,stock_comparison
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
Compare the volume price of Amazon and Apple this year.,volume,ytd,stock_comparison
What was the close price comparison between Apple and Tesla this year?,close,ytd,stock_comparison
Compare the close price of Google and Amazon this year.,close,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
What was the close price comparison between Facebook and Tesla this year?,close,ytd,stock_comparison
Compare the open price of Microsoft and Facebook this year.,open,ytd,stock_comparison
Compare the low price of Amazon and Microsoft this year.,low,ytd,stock_comparison
Compare the close price of Google and Amazon this year.,close,ytd,stock_comparison
Compare the high price of Apple and Facebook this year.,high,ytd,stock_comparison
What was the high price comparison between Facebook and Tesla this year?,high,ytd,stock_comparison
What was the close price comparison between Facebook and Tesla this year?,close,ytd,stock_comparison
What was the volume price comparison between Facebook and Amazon this year?,volume,ytd,stock_comparison
What was the volume price comparison between Amazon and Apple this year?,volume,ytd,stock_comparison
Compare the volume price of Amazon and Google this year.,volume,ytd,stock_comparison
What was the close price comparison between Google and Amazon this year?,close,ytd,stock_comparison
Compare the close price of Google and Amazon this year.,close,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
Compare the high price of Tesla and Apple this year.,high,ytd,stock_comparison
Compare the volume price of Microsoft and Apple this year.,volume,ytd,stock_comparison
Compare the open price of Facebook and Apple this year.,open,ytd,stock_comparison
Compare the volume price of Microsoft and Apple this year.,volume,ytd,stock_comparison
What was the low price comparison between Google and Facebook this year?,low,ytd,stock_comparison
Compare the low price of Apple and Tesla this year.,low,ytd,stock_comparison
Compare the close price of Tesla and Microsoft this year.,close,ytd,stock_comparison
Compare the high price of Tesla and Apple this year.,high,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the close price of Facebook and Tesla this year.,close,ytd,stock_comparison
Compare the high price of Tesla and Apple this year.,high,ytd,stock_comparison
What was the high price comparison between Google and Tesla this year?,high,ytd,stock_comparison
What was the volume price comparison between Tesla and Google this year?,volume,ytd,stock_comparison
What was the volume price comparison between Tesla and Facebook this year?,volume,ytd,stock_comparison
Compare the low price of Facebook and Apple this year.,low,ytd,stock_comparison
Compare the volume price of Tesla and Apple this year.,volume,ytd,stock_comparison
Compare the volume price of Amazon and Apple this year.,volume,ytd,stock_comparison
What was the close price comparison between Tesla and Apple this year?,close,ytd,stock_comparison
What was the low price comparison between Google and Facebook this year?,low,ytd,stock_comparison
What was the open price comparison between Microsoft and Amazon this year?,open,ytd,stock_comparison
What was the close price comparison between Microsoft and Apple this year?,close,ytd,stock_comparison
Compare the high price of Google and Facebook this year.,high,ytd,stock_comparison
Compare the close price of Amazon and Facebook this year.,close,ytd,stock_comparison
What was the close price comparison between Microsoft and Facebook this year?,close,ytd,stock_comparison
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
What was the close price comparison between Microsoft and Apple this year?,close,ytd,stock_comparison
Compare the close price of Facebook and Amazon this year.,close,ytd,stock_comparison
